trial,trial_type,intended_slider_value,n_chopping_boards,n_counters,model_agents,model_model,model_recipe,model_seed,model_settings,timesteps,agent_pauses,agent_collisions,was_successful
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,1,agents=2-model=bd_bd-recipe=Salad,16,12,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,2,agents=2-model=bd_bd-recipe=Salad,18,13,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,3,agents=2-model=bd_bd-recipe=Salad,16,10,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,4,agents=2-model=bd_bd-recipe=Salad,16,11,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,5,agents=2-model=bd_bd-recipe=Salad,19,17,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,6,agents=2-model=bd_bd-recipe=Salad,17,11,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,7,agents=2-model=bd_bd-recipe=Salad,18,16,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,8,agents=2-model=bd_bd-recipe=Salad,17,12,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,9,agents=2-model=bd_bd-recipe=Salad,17,13,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,10,agents=2-model=bd_bd-recipe=Salad,16,9,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,11,agents=2-model=bd_bd-recipe=Salad,16,10,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,12,agents=2-model=bd_bd-recipe=Salad,19,15,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,13,agents=2-model=bd_bd-recipe=Salad,16,12,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,14,agents=2-model=bd_bd-recipe=Salad,16,9,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,15,agents=2-model=bd_bd-recipe=Salad,16,11,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,16,agents=2-model=bd_bd-recipe=Salad,16,10,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,17,agents=2-model=bd_bd-recipe=Salad,16,11,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,18,agents=2-model=bd_bd-recipe=Salad,16,8,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,19,agents=2-model=bd_bd-recipe=Salad,16,11,0,True
trial_01,cooks,0.0,1,4,2,bd_bd,Salad,20,agents=2-model=bd_bd-recipe=Salad,16,13,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,1,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,2,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,3,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,4,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,5,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,6,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,7,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,8,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,9,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,10,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,11,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,12,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,13,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,14,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,15,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,16,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,17,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,18,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,19,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,2,centralized_centralized,Salad,20,agents=2-model=centralized_centralized-recipe=Salad,16,16,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,1,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,2,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,3,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,4,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,5,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,6,agents=1-model=greedy-recipe=Salad,16,0,0,True
trial_01,cooks,0.0,1,4,1,greedy,Salad,7,agents=1-model=greedy-recipe=Salad,16,0,0,True
